#Rate of rotation around the x y z axes (Angular velocity).
#timestamp(ns),x,y,z(rad/s)
#Datetime: 05/07/2013 11:27:39
##########################################
#Activity: 12 - BSC - Back sitting chair - 10s
#Subject ID: 1
#First Name: sub1
#Last Name: sub1
#Age: 32
#Height(cm): 180
#Weight(kg): 85
#Gender: Male
##########################################


@DATA
2318294309000, 6.015801, -0.96669424, -8.615032
2318299108000, -2.6041186, -3.1083877, 8.485834
2318304077000, -8.140085, 0.73914695, 0.03970624
2318309166000, -1.1771374, 0.7360926, 0.035124753
2318314032000, -1.1722504, 0.74128497, 0.033292156
2318320071000, -1.16492, 0.754724, 0.028405234
2318324101000, -1.1808025, 0.77396625, 0.023518313
2318329196000, -1.1902709, 0.7825184, 0.03023783
2318334113000, -1.2110404, 0.7800749, 0.039095376
2318339091000, -1.2140946, 0.77182823, 0.044898596
2318344089000, -1.2073752, 0.7834347, 0.061391957
2318349173000, -1.2464706, 0.76174897, 0.064446285
2318354106000, -1.2403619, 0.75869465, 0.058337633
2318359090000, -1.2351695, 0.7467828, 0.06627888
2318364093000, -1.2425, 0.7315111, 0.07238753
2318369143000, -1.2321151, 0.713796, 0.08124508
2318374117000, -1.2406673, 0.6908886, 0.09621128
2318379042000, -1.2388347, 0.67103547, 0.10629055
2318384101000, -1.2174544, 0.6038403, 0.10720685
2318389871000, -1.1194105, 0.50243664, 0.102319926
2318394093000, -0.93615097, 0.46395215, 0.10354166
2318399102000, -0.86376345, 0.3930918, 0.09193522
2318404107000, -0.729984, 0.32803464, 0.09285152
2318409091000, -0.6105598, 0.17531833, 0.07147124
2318414095000, -0.3210097, -0.03023783, 0.012217305
2318419086000, 0.07086037, -0.03268129, 0.015882496
2318424084000, 0.08002335, 0.0033597588, 0.016493361
2318429044000, 0.027794369, -0.009162978, 0.016798794
2318434034000, 0.03481932, -0.018325957, 0.02076942
2318439046000, 0.03176499, -0.015271631, 0.0125227375
2318444105000, 0.029626964, -0.016187929, 0.0076358155
2318449066000, 0.024740042, -0.013439035, 0.014966198
2318454112000, 0.03023783, -0.009162978, 0.01985312
2318459472000, 0.01740966, -0.013439035, 0.018325957
2318464098000, 0.022296581, -0.016187929, 0.010079277
2318469085000, 0.021991149, -0.015577064, 0.011301007
2318474063000, 0.012217305, -0.011301007, 0.01282817
2318479045000, 0.016187929, -0.008552114, 0.014049901
2318484040000, 0.014966198, -0.014049901, 0.010995574
2318489017000, 0.017104227, -0.014966198, 0.0106901415
2318494111000, 0.013439035, -0.019547688, 0.004581489
2318499108000, -0.0012217305, -0.02076942, 0.006414085
2318504031000, 0.010079277, -0.01740966, 0.007941248
2318509039000, 0.01038471, -0.01160644, 0.01038471
2318514041000, 0.006414085, -0.016493361, 0.010079277
2318519180000, 0.0018325958, -0.023518313, 0.003970624
2318524061000, -0.004886922, -0.019547688, -0.0027488936
2318529094000, -0.0033597588, -0.022296581, -3.0543262E-4
2318534068000, -0.00580322, -0.022907447, 0.0036651916
2318539031000, 0.0018325958, -0.013439035, 0.0027488936
2318544131000, -0.0106901415, -0.0106901415, 0.002443461
2318549187000, -0.004581489, -0.019242255, 0.008246681
2318554060000, 0.0021380284, -0.01038471, 0.008552114
2318559085000, -0.0012217305, -0.010079277, 0.011301007
2318564049000, 0.004886922, -0.00580322, 0.012217305
2318569168000, 0.004886922, -0.014966198, 0.011301007
2318575568000, 0.0036651916, -0.004581489, 0.012217305
2318579047000, 0.008857546, -0.0033597588, 0.009773844
2318584005000, 0.010995574, -0.004886922, 0.012217305
2318589031000, 0.014049901, -0.0033597588, 0.008552114
2318594112000, 0.002443461, -0.004276057, 0.006414085
2318599129000, 0.005192355, 6.1086525E-4, 0.005497787
2318604055000, 0.0033597588, 0.0033597588, 0.007330383
