#Acceleration force along the x y z axes (including gravity).
#timestamp(ns),x,y,z(m/s^2)
#Datetime: 28/05/2013 11:32:23
##########################################
#Activity: 6 - STN - Stairs down - 10s
#Subject ID: 5
#First Name: sub5
#Last Name: sub5
#Age: 36
#Height(cm): 160
#Weight(kg): 50
#Gender: Female
##########################################


@DATA
1594912384000, 0.20111294, 9.854534, 0.02873042
1595113305000, 0.21068975, 9.911995, -0.1340753
1595315351000, 0.19153613, 9.892841, 0.08619126
1595326914000, 0.25857377, 9.959879, -0.076614454
1595337379000, 0.20111294, 9.911995, -0.047884032
1595347422000, 0.22026655, 9.940725, -0.095768064
1595356926000, 0.18195933, 9.940725, -0.17238252
1595366935000, 0.19153613, 9.931149, -0.22984336
1595377149000, 0.16280572, 9.931149, -0.23942018
1595387255000, 0.16280572, 9.911995, -0.23942018
1595397525000, 0.12449849, 9.931149, -0.22026655
1595407734000, 0.08619126, 9.921572, -0.18195933
1595418942000, 0.12449849, 9.902418, -0.1340753
1595428363000, 0.1436521, 9.940725, 0.019153614
1595438470000, 0.19153613, 9.9790325, 0.05746084
1595448730000, 0.18195933, 9.988609, 0.16280572
1595459618000, 0.20111294, 9.959879, 0.24899697
1595469771000, 0.23942018, 9.902418, 0.29688102
1595481457000, 0.21068975, 9.854534, 0.2873042
1595492322000, 0.17238252, 9.825804, 0.23942018
1595502332000, 0.12449849, 9.825804, 0.24899697
1595511847000, 0.076614454, 9.854534, 0.24899697
1595521845000, 0.038307227, 9.873688, 0.23942018
1595531955000, -0.02873042, 9.892841, 0.22984336
1595542306000, -0.009576807, 9.844957, 0.22984336
1595553756000, -0.02873042, 9.864111, 0.2681506
1595564273000, -0.009576807, 9.892841, 0.19153613
1595576514000, -0.038307227, 9.892841, 0.08619126
1595586963000, -0.08619126, 9.883265, 0.1340753
1595597383000, -0.10534488, 9.844957, 0.1436521
1595607824000, -0.11492168, 9.80665, 0.19153613
1595617153000, -0.1436521, 9.768343, 0.2681506
1595627735000, -0.1340753, 9.787497, 0.29688102
1595638660000, -0.17238252, 9.787497, 0.31603462
1595650311000, -0.20111294, 9.816227, 0.29688102
1595660738000, -0.17238252, 9.864111, 0.31603462
1595672761000, -0.1340753, 9.921572, 0.36391866
1595682282000, -0.038307227, 9.931149, 0.39264908
1595692987000, 0.02873042, 9.911995, 0.36391866
1595703694000, 0.095768064, 9.873688, 0.35434186
1595714786000, 0.19153613, 9.825804, 0.25857377
1595726788000, 0.22984336, 9.988609, 0.18195933
1595741481000, 0.35434186, 9.998186, 0.1340753
1595752092000, 0.45968673, 9.959879, 0.12449849
1595762574000, 0.58418524, 9.940725, 0.15322891
1595772105000, 0.51714754, 10.04607, 0.11492168
1595782221000, 0.49799395, 9.969456, 0.10534488
1595796079000, 0.31603462, 9.911995, 0.19153613
1595809534000, 0.29688102, 9.902418, 0.24899697
1595821748000, 0.34476504, 9.911995, 0.29688102
1595832381000, 0.545878, 9.998186, 0.18195933
1595842478000, 0.641646, 9.940725, 0.095768064
1595854373000, 0.7757214, 9.892841, -0.019153614
1595866905000, 0.91937345, 9.892841, -0.047884032
1595878358000, 1.0055647, 9.883265, -0.08619126
1595891851000, 1.0342951, 9.892841, -0.1340753
1595903096000, 1.0342951, 9.864111, -0.12449849
1595912400000, 1.091756, 9.854534, -0.1340753
1595923587000, 1.1013328, 9.864111, -0.095768064
1595937712000, 1.091756, 9.835381, -0.12449849
1595948155000, 1.1013328, 9.825804, -0.12449849
1595958135000, 1.0821792, 9.787497, -0.12449849
1595969230000, 1.0055647, 9.77792, -0.1340753
1595981737000, 0.91937345, 9.730036, -0.11492168
1595993457000, 0.89064306, 9.730036, -0.10534488
1596003722000, 0.8523358, 9.77792, -0.10534488
1596013477000, 0.90021986, 9.787497, -0.05746084
1596029434000, 0.842759, 9.988609, 0.17238252
1596040954000, 0.8714894, 9.969456, 0.34476504
1596052191000, 0.7278373, 10.170568, 0.33518824
1596061923000, 0.6512229, 10.362105, 0.45968673
1596071475000, 0.60333884, 10.429143, 0.5267244
1596081396000, 0.62249243, 10.457873, 0.5746084
1596091527000, 0.641646, 10.400413, 0.545878
1596102393000, 0.6703765, 10.295067, 0.5363012
1596111785000, 0.7182605, 10.208876, 0.5650316
1596122059000, 0.80445176, 10.103531, 0.63206923
1596132258000, 0.7661445, 10.007763, 0.842759
1596142044000, 0.7374141, 9.892841, 1.1587936
1596152580000, 0.545878, 9.854534, 1.5801731
1596163559000, 0.39264908, 9.892841, 1.7238252
1596174045000, 0.33518824, 9.768343, 1.6089035
1596186196000, 0.22984336, 9.615114, 1.4748282
1596206674000, -0.009576807, 10.036493, 1.541866
1596216450000, 0.08619126, 10.1226845, 1.5897499
